diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,6319439,6319439,Ourilandia Do Norte,Ourilandia do Norte,Brazil,Brazil,BR,BR,PA,PA
city_name,6319341,6319341,Sao Gabriel Da Cachoeira,Sao Gabriel da Cachoeira,Brazil,Brazil,BR,BR,AM,AM
city_name,6319306,6319306,Boca Do Acre,Boca do Acre,Brazil,Brazil,BR,BR,AM,AM
city_name,6319342,6319342,Sao Paulo De Olivenca,Sao Paulo de Olivenca,Brazil,Brazil,BR,BR,AM,AM
city_name,6319182,6319182,Sao Felix Do Araguaia,Sao Felix do Araguaia,Brazil,Brazil,BR,BR,MT,MT
city_name,6319397,6319397,Cumaru Do Norte,Cumaru do Norte,Brazil,Brazil,BR,BR,PA,PA
city_name,6319340,6319340,Santa Isabel Do Rio Negro,Santa Isabel do Rio Negro,Brazil,Brazil,BR,BR,AM,AM
city_name,6324198,6324198,Barra Do Mendes,Barra do Mendes,Brazil,Brazil,BR,BR,BA,BA
city_name,1786760,1786760,Yicheng,Yixing,China,China,CN,CN,JS,JS
city_name,2033135,2033135,Zhengjiatun,Shuangliao,China,China,CN,CN,JL,JL
city_name,1793703,1793703,Chengxiang,Taicang,China,China,CN,CN,JS,JS
city_name,8505210,8505210,Bukui,Jianhua,China,China,CN,CN,HL,HL
city_name,2035846,2035846,Manggetu,Manggetucun,China,China,CN,CN,HL,HL
city_name,8505204,8505204,Nanhang,Longsha,China,China,CN,CN,HL,HL
city_name,1909733,1909733,Longzhouwan,Banan,China,China,CN,CN,CQ,CQ
city_name,3624685,3624685,Blanco,Rio Blanco,Costa Rica,Costa Rica,CR,CR,L,L
city_name,3493174,3493174,San Fernando de Monte Cristi,Monte Cristo,Dominican Republic,Dominican Republic,DO,DO,15,15
city_name,780104,780104,Furuflata,Furuflaten,Norway,Norway,NO,NO,54,54
city_name,706369,706369,Khmelnytskyy,Khmelnytskyi,Ukraine,Ukraine,UA,UA,68,68
geoname_id,2168087,8614218,Dunmore,Dunmore,Australia,Australia,AU,AU,NSW,NSW
geoname_id,7839635,2061927,Sandstone,Sandstone,Australia,Australia,AU,AU,WA,WA
geoname_id,2167109,12055979,Eureka,Eureka,Australia,Australia,AU,AU,NSW,NSW
geoname_id,2163231,12055359,Homeleigh,Homeleigh,Australia,Australia,AU,AU,NSW,NSW
geoname_id,8347992,2073079,Dawesley,Dawesley,Australia,Australia,AU,AU,SA,SA
geoname_id,2802223,2802225,Berg,Berg,Belgium,Belgium,BE,BE,"VLG, VBR","VLG, VBR"
geoname_id,3389141,3389134,Santo Antonio,Santo Antonio,Brazil,Brazil,BR,BR,RN,RN
