diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,6317245,6317245,Herval dOeste,Herval d'Oeste,Brazil,Brazil,BR,BR,SC,SC
city_name,3189350,3189350,Sveti Durd,Sveti Djurdj,Croatia,Croatia,HR,HR,5,5
city_name,3196502,3196502,Lipovaca,Lipovača,Croatia,Croatia,HR,HR,16,16
city_name,2611962,2611962,Sydhrugota,Sydrugota,Faroe Islands,Faroe Islands,FO,FO,,
city_name,2616140,2616140,Nordhskali,Nordskali,Faroe Islands,Faroe Islands,FO,FO,,
city_name,2618511,2618511,Kollafjordhur,Kollafjordur,Faroe Islands,Faroe Islands,FO,FO,,
city_name,11809714,11809714,Tojimmachi,Tojinmachi,Japan,Japan,JP,JP,40,40
city_name,1506073,1506073,Gur'yevsk,Guryevsk,Russia,Russia,RU,RU,KEM,KEM
city_name,1488272,1488272,Ust'-Abakan,Ust-abakan,Russia,Russia,RU,RU,KK,KK
city_name,1502060,1502060,Krasnoural'sk,Krasnouralsk,Russia,Russia,RU,RU,SVE,SVE
city_name,542197,542197,Krasnoural'sk,Krasnouralsk,Russia,Russia,RU,RU,ORE,ORE
city_name,496275,496275,Severoural'sk,Severouralsk,Russia,Russia,RU,RU,SVE,SVE
city_name,3122426,3122426,Finisterra,Fisterra,Spain,Spain,ES,ES,"GA, C","GA, C"
city_name,1606418,1606418,Saraburi,Changwat Sara Buri,Thailand,Thailand,TH,TH,19,19
city_name,1611453,1611453,Buriram,Changwat Buri Ram,Thailand,Thailand,TH,TH,31,31
city_name,1607532,1607532,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,Thailand,TH,TH,14,14
city_name,1606590,1606590,Samut Prakan,Mueang Samut Prakan,Thailand,Thailand,TH,TH,11,11
city_name,7027003,7027003,Watthana,Vadhana,Thailand,Thailand,TH,TH,10,10
city_name,1619278,1619278,Bangrak,Bang Rak,Thailand,Thailand,TH,TH,10,10
city_name,701404,701404,Kyzyl-Yar,Melitopol,Ukraine,Ukraine,UA,UA,23,23
city_name,694272,694272,Shchorsk,Bozhedarivka,Ukraine,Ukraine,UA,UA,12,12
city_name,692105,692105,Sverdlovs'k,Dovzhansk,Ukraine,Ukraine,UA,UA,9,9
geoname_id,2167109,12055979,Eureka,Eureka,Australia,Australia,AU,AU,NSW,NSW
geoname_id,9535103,8598931,Pine Creek,Pine Creek,Australia,Australia,AU,AU,QLD,QLD
geoname_id,1203894,7105620,Dimla,Dimla,Bangladesh,Bangladesh,BD,BD,"F, 46","F, 46"
geoname_id,3921633,12496031,Cercado,Cercado,Bolivia,Bolivia,BO,BO,T,T
geoname_id,3258623,3188464,Usora,Usora,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BA,SRP,SRP
geoname_id,3199509,3292446,Grude,Grude,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BA,BIH,BIH
geoname_id,3266863,3194204,Odzak,Odzak,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BA,SRP,SRP
geoname_id,3198137,3198138,Kiseljak,Kiseljak,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BA,BIH,BIH
geoname_id,3265307,3270055,Prisoje,Prisoje,Bosnia and Herzegovina,Bosnia and Herzegovina,BA,BA,SRP,SRP
geoname_id,3456751,6320962,Morpara,Morpara,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6316298,6319005,Acailandia,Acailandia,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6318970,6319833,Ze Doca,Ze Doca,Brazil,Brazil,BR,BR,MA,MA
geoname_id,3453078,3453080,Ponte Nova,Ponte Nova,Brazil,Brazil,BR,BR,MG,MG
geoname_id,3456173,3456174,Nova Esperanca,Nova Esperanca,Brazil,Brazil,BR,BR,PR,PR
geoname_id,3461871,3480536,Guararema,Guararema,Brazil,Brazil,BR,BR,SP,SP
geoname_id,3472271,3472270,Andarai,Andarai,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6319478,3387928,Senador Jose Porfirio,Senador Jose Porfirio,Brazil,Brazil,BR,BR,PA,PA
geoname_id,6319470,3388847,Sao Felix do Xingu,Sao Felix do Xingu,Brazil,Brazil,BR,BR,PA,PA
geoname_id,6323873,3450872,Rosario Oeste,Rosario Oeste,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3411874,6316460,Augustinopolis,Augustinopolis,Brazil,Brazil,BR,BR,TO,TO
geoname_id,6321092,3445448,Varzea Nova,Varzea Nova,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3663503,6319329,Manicore,Manicore,Brazil,Brazil,BR,BR,AM,AM
geoname_id,6319587,3393239,Palmeirante,Palmeirante,Brazil,Brazil,BR,BR,TO,TO
geoname_id,6317783,3456058,Novo Horizonte,Novo Horizonte,Brazil,Brazil,BR,BR,SC,SC
geoname_id,3456057,6317795,Novo Mundo,Novo Mundo,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3452514,3452515,Pouso Alto,Pouso Alto,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6320811,3465983,Cocos,Cocos,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6318630,11669527,Sapezal,Sapezal,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6317869,6323850,Paranaita,Paranaita,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3389141,3389134,Santo Antonio,Santo Antonio,Brazil,Brazil,BR,BR,RN,RN
geoname_id,6317292,3398136,Ipiranga,Ipiranga,Brazil,Brazil,BR,BR,RN,RN
geoname_id,3396194,6317488,Logradouro,Logradouro,Brazil,Brazil,BR,BR,PB,PB
geoname_id,6321486,3460148,Januaria,Januaria,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6319437,3393471,Oriximina,Oriximina,Brazil,Brazil,BR,BR,PA,PA
geoname_id,3394372,3394380,Morros,Morros,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6316432,3665202,Aripuana,Aripuana,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3449194,3449216,Sao Felipe,Sao Felipe,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6316760,6323812,Canarana,Canarana,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6317803,6324149,Novo Sao Joaquim,Novo Sao Joaquim,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6319555,3399603,Filadelfia,Filadelfia,Brazil,Brazil,BR,BR,TO,TO
geoname_id,3450917,12229477,Rondinha,Rondinha,Brazil,Brazil,BR,BR,RS,RS
