diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3846029,3846029,Los Manantiales,Manantiales,Argentina,Argentina,AR,AR,Y,Y
city_name,6323798,6323798,Apiacas,Apiacás Municipality,Brazil,Brazil,BR,BR,MT,MT
city_name,6319312,6319312,Codajas,Codajás Municipality,Brazil,Brazil,BR,BR,AM,AM
city_name,6319420,6319420,Maraba,Marabá Municipality,Brazil,Brazil,BR,BR,PA,PA
city_name,638915,638915,Roeykkae,Röykkä,Finland,Finland,FI,FI,18,18
city_name,2906376,2906376,Hennef,Hennef (Sieg),Germany,Germany,DE,DE,NW,NW
city_name,1282940,1282940,Parasi,Ramgram Parasi,Nepal,Nepal,NP,NP,P5,P5
city_name,2014022,2014022,Usol'ye-Sibirskoye,Usolye-Sibirskoye,Russia,Russia,RU,RU,IRK,IRK
city_name,710374,710374,Chuhuyiv,Chuhuiv,Ukraine,Ukraine,UA,UA,63,63
city_name,709334,709334,Dzhankoy,Dzhankoi,Ukraine,Ukraine,UA,UA,43,43
city_name,700918,700918,Mohyliv-Podilskyy,Mohyliv-Podilskyi,Ukraine,Ukraine,UA,UA,5,5
city_name,697576,697576,Pervomays'kyy,Pervomaiskyi,Ukraine,Ukraine,UA,UA,63,63
city_name,692818,692818,Starokostyantyniv,Starokostiantyniv,Ukraine,Ukraine,UA,UA,68,68
city_name,691469,691469,Tokamak,Tokmak,Ukraine,Ukraine,UA,UA,23,23
city_name,709354,709354,Dzerzhyns'k,Toretsk,Ukraine,Ukraine,UA,UA,14,14
city_name,688373,688373,Yasinovataya,Yasynuvata,Ukraine,Ukraine,UA,UA,14,14
city_name,5325259,5325259,Aukum,Mount Aukum,United States,United States,US,US,CA,CA
city_name,1587883,1587883,Binh Dai,Binh GJai,Vietnam,Vietnam,VN,VN,50,50
city_name,1587613,1587613,Bu Dop,Bu GJop,Vietnam,Vietnam,VN,VN,58,58
city_name,1585660,1585660,Chau Doc,Chau GJoc,Vietnam,Vietnam,VN,VN,44,44
city_name,8616190,8616190,Chi Dong,Chi GJong,Vietnam,Vietnam,VN,VN,HN,HN
city_name,1582338,1582338,D'Ran,GJ'Ran,Vietnam,Vietnam,VN,VN,35,35
city_name,1584284,1584284,Dai Ngai,GJai Ngai,Vietnam,Vietnam,VN,VN,52,52
city_name,8695369,8695369,Dak Doa,GJak GJoa,Vietnam,Vietnam,VN,VN,30,30
city_name,1582203,1582203,Dak Mil,GJak Mil,Vietnam,Vietnam,VN,VN,72,72
city_name,1584099,1584099,Dak Song,GJak Song,Vietnam,Vietnam,VN,VN,72,72
city_name,1583882,1583882,Dan Phuong,GJan Phuong,Vietnam,Vietnam,VN,VN,HN,HN
city_name,9867659,9867659,Dat Do,GJat GJo,Vietnam,Vietnam,VN,VN,54,54
city_name,1583478,1583478,Dien Ban,GJien Ban,Vietnam,Vietnam,VN,VN,27,27
city_name,1583395,1583395,Dinh Binh,GJinh Binh,Vietnam,Vietnam,VN,VN,31,31
city_name,1583341,1583341,Dinh Lien Chieu,GJinh Lien Chieu,Vietnam,Vietnam,VN,VN,DN,DN
city_name,1583327,1583327,Dinh Quan,GJinh Quan,Vietnam,Vietnam,VN,VN,39,39
city_name,1582367,1582367,Do Son,GJo Son,Vietnam,Vietnam,VN,VN,HP,HP
city_name,1583240,1583240,Doan Hung,GJoan Hung,Vietnam,Vietnam,VN,VN,68,68
city_name,8616040,8616040,Dong Anh,GJong Anh,Vietnam,Vietnam,VN,VN,HN,HN
city_name,8616121,8616121,Dong Da,GJong GJa,Vietnam,Vietnam,VN,VN,HN,HN
city_name,8569646,8569646,Dong Hung,GJong Hung,Vietnam,Vietnam,VN,VN,20,20
city_name,1582723,1582723,Dong Nai,GJong Nai,Vietnam,Vietnam,VN,VN,23,23
city_name,1904486,1904486,Dong Phu,GJong Phu,Vietnam,Vietnam,VN,VN,SG,SG
city_name,9643325,9643325,Duc An,GJuc An,Vietnam,Vietnam,VN,VN,59,59
city_name,1582210,1582210,Duc Hoa,GJuc Hoa,Vietnam,Vietnam,VN,VN,41,41
city_name,1593478,1593478,Duc Hoa,GJuc Hoa,Vietnam,Vietnam,VN,VN,49,49
city_name,1582190,1582190,Duc Pho,GJuc Pho,Vietnam,Vietnam,VN,VN,29,29
city_name,1582187,1582187,Duc Phong,GJuc Phong,Vietnam,Vietnam,VN,VN,58,58
city_name,1581360,1581360,Ha Dong,Ha GJong,Vietnam,Vietnam,VN,VN,31,31
city_name,1581364,1581364,Ha Dong,Ha GJong,Vietnam,Vietnam,VN,VN,HN,HN
city_name,1580914,1580914,Hiep Duc,Hiep GJuc,Vietnam,Vietnam,VN,VN,27,27
