diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3832705,3832705,Villa Las Rosas,Villa de las Rosas,Argentina,Argentina,AR,AR,X,X
city_name,3832809,3832809,Villa Anizacate,Valle de Anisacate,Argentina,Argentina,AR,AR,X,X
city_name,3859951,3859951,Costa Sacate,Costasacate,Argentina,Argentina,AR,AR,X,X
city_name,3859535,3859535,Dalmacio Velez Sarsfield,Dalmacio Velez,Argentina,Argentina,AR,AR,X,X
city_name,3861042,3861042,Ciudad de Loreto,Villa San Martin,Argentina,Argentina,AR,AR,G,G
city_name,3855467,3855467,Forres,Ingeniero Forres,Argentina,Argentina,AR,AR,G,G
city_name,3849187,3849187,La Punta,Villa La Punta,Argentina,Argentina,AR,AR,G,G
city_name,3832780,3832780,Villa Colonia Italiana,Colonia Italiana,Argentina,Argentina,AR,AR,X,X
city_name,3864889,3864889,Ballesteros Sur,Ballesteros Sud,Argentina,Argentina,AR,AR,X,X
city_name,3854413,3854413,Gutenberg,Gutemberg,Argentina,Argentina,AR,AR,X,X
city_name,2151629,2151629,Riddell,Riddells Creek,Australia,Australia,AU,AU,VIC,VIC
city_name,2178125,2178125,Alfred Town,Alfredtown,Australia,Australia,AU,AU,NSW,NSW
city_name,2159648,2159648,Longley Lower,Lower Longley,Australia,Australia,AU,AU,TAS,TAS
city_name,2169005,2169005,Derwent,Bushy Park,Australia,Australia,AU,AU,TAS,TAS
city_name,385038,385038,Ar Rifa',Riffa,Bahrain,Bahrain,BH,BH,14,14
city_name,290160,290160,Qalali,Galali,Bahrain,Bahrain,BH,BH,15,15
city_name,290368,290368,Al Budayyi`,Budaiya,Bahrain,Bahrain,BH,BH,17,17
city_name,290296,290296,Az Zallaq,Zallaq,Bahrain,Bahrain,BH,BH,14,14
city_name,290306,290306,Ash Shakhurah,Shakhura,Bahrain,Bahrain,BH,BH,17,17
city_name,290247,290247,Madinat Hamad,Hamad Town,Bahrain,Bahrain,BH,BH,17,17
city_name,290187,290187,Madinat `Isa,Isa Town,Bahrain,Bahrain,BH,BH,14,14
city_name,3464305,3464305,Embu,Embu das Artes,Brazil,Brazil,BR,BR,SP,SP
city_name,3686880,3686880,Departamento del Cesar,Cesar Department,Colombia,Colombia,CO,CO,CES,CES
city_name,3505867,3505867,Provincia Espaillat,Espaillat Province,Dominican Republic,Dominican Republic,DO,DO,9,9
city_name,3508718,3508718,Provincia Duarte,Duarte Province,Dominican Republic,Dominican Republic,DO,DO,6,6
city_name,3503706,3503706,Provincia de La Altagracia,La Altagracia Province,Dominican Republic,Dominican Republic,DO,DO,11,11
city_name,3659237,3659237,Chimborazo,Chimborazo Province,Ecuador,Ecuador,EC,EC,H,H
city_name,347236,347236,Tukh,Toukh,Egypt,Egypt,EG,EG,KB,KB
city_name,349114,349114,Shirbin,Sherbin,Egypt,Egypt,EG,EG,DK,DK
city_name,353229,353229,Al 'Ashir min Ramadan,10th of Ramadan City,Egypt,Egypt,EG,EG,SHR,SHR
city_name,350370,350370,Quwaysina,Quweisna,Egypt,Egypt,EG,EG,MNF,MNF
city_name,354365,354365,Kafr az Zayyat,Kafr az Zayyāt,Egypt,Egypt,EG,EG,GH,GH
city_name,352354,352354,Munuf,Menouf,Egypt,Egypt,EG,EG,MNF,MNF
city_name,361029,361029,Al Jammaliyah,Al Jamālīyah,Egypt,Egypt,EG,EG,DK,DK
city_name,2081550,2081550,State of Pohnpei,Pohnpei State,Federated States of Micronesia,Federated States of Micronesia,FM,FM,PNI,PNI
city_name,2081175,2081175,State of Yap,Yap State,Federated States of Micronesia,Federated States of Micronesia,FM,FM,YAP,YAP
city_name,2082282,2082282,State of Chuuk,Chuuk,Federated States of Micronesia,Federated States of Micronesia,FM,FM,TRK,TRK
city_name,611716,611716,K'alak'i T'bilisi,Tbilisi,Georgia,Georgia,GE,GE,TB,TB
city_name,2294962,2294962,Swedru,Agona Swedru,Ghana,Ghana,GH,GH,CP,CP
city_name,3579938,3579938,Saint Andrew,Saint Andrew Parish,Grenada,Grenada,GD,GD,1,1
city_name,3719432,3719432,Departement de l'Ouest,Ouest,Haiti,Haiti,HT,HT,OU,OU
city_name,1818379,1818379,Wanchai,Wan Chai,Hong Kong,Hong Kong,HK,HK,HWC,HWC
city_name,1819980,1819980,Chek Chue,Stanley,Hong Kong,Hong Kong,HK,HK,HSO,HSO
city_name,1818264,1818264,Yau Yat Tsuen,Yau Yat Chuen,Hong Kong,Hong Kong,HK,HK,KSS,KSS
city_name,3046431,3046431,Pest megye,Pest County,Hungary,Hungary,HU,HU,PE,PE
city_name,1270647,1270647,Gurdāspur,Gurdaspur,India,India,IN,IN,PB,PB
city_name,1265767,1265767,Kūkatpalli,Kukatpally,India,India,IN,IN,TS,TS
city_name,1266616,1266616,Khurda,Khordha,India,India,IN,IN,OD,OD
city_name,1274693,1274693,Chānda,Chandrapur,India,India,IN,IN,MH,MH
city_name,1255437,1255437,Sundargarh,Sundergarh,India,India,IN,IN,OD,OD
city_name,1261828,1261828,Narāyangarh,Naraingarh,India,India,IN,IN,HR,HR
city_name,1260137,1260137,Pathānkot,Pathankot,India,India,IN,IN,PB,PB
city_name,1259110,1259110,Qādiān,Qadian,India,India,IN,IN,PB,PB
city_name,1265709,1265709,Kulu,Kullu,India,India,IN,IN,HP,HP
city_name,1276325,1276325,Bhadrakh,Bhadrak,India,India,IN,IN,OD,OD
city_name,1274040,1274040,Chittaurgarh,Chittorgarh,India,India,IN,IN,RJ,RJ
city_name,1263959,1263959,Mānantoddy,Mananthavady,India,India,IN,IN,KL,KL
city_name,1264352,1264352,Mahrauli,Mehrauli,India,India,IN,IN,DL,DL
city_name,1275804,1275804,Bhūm,Bhoom,India,India,IN,IN,MH,MH
city_name,1258140,1258140,Rīngas,Reengus,India,India,IN,IN,RJ,RJ
city_name,1272646,1272646,Dicholi,Bicholim,India,India,IN,IN,GA,GA
city_name,1253579,1253579,Vādippatti,Vadipatti,India,India,IN,IN,TN,TN
city_name,117574,117574,Sanandij,Sanandaj,Iran,Iran,IR,IR,12,12
city_name,99532,99532,Basrah,Basra,Iraq,Iraq,IQ,IQ,BA,BA
