diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,2498611,2498611,ash-Shalif,Chlef,Algeria,Algeria,DZ,DZ,2,2
city_name,3836137,3836137,Santa Maria,Santa Maria de Punilla,Argentina,Argentina,AR,AR,X,X
city_name,3457107,3457107,Mirandopólis,Mirandópolis,Brazil,Brazil,BR,BR,SP,SP
city_name,2844437,2844437,Rotenburg,Rotenburg (Wümme),Germany,Germany,DE,DE,NI,NI
city_name,2958024,2958024,Altdorf bei Nurnberg,Altdorf bei Nuernberg,Germany,Germany,DE,DE,BY,BY
city_name,1732667,1732667,Bentung,Bentong,Malaysia,Malaysia,MY,MY,6,6
city_name,6826913,6826913,Tanjung Bunga,Tanjung Bungah,Malaysia,Malaysia,MY,MY,7,7
city_name,1735799,1735799,Simanggang,Sri Aman,Malaysia,Malaysia,MY,MY,13,13
city_name,1737012,1737012,Kampong Lundu,Lundu,Malaysia,Malaysia,MY,MY,13,13
city_name,7779082,7779082,Bandar Baru Sri Petaling,Sri Petaling,Malaysia,Malaysia,MY,MY,14,14
city_name,1734582,1734582,Kampung Enggor,Enggor,Malaysia,Malaysia,MY,MY,8,8
city_name,1283491,1283491,Dāna,Dānā,Nepal,Nepal,NP,NP,P4,P4
city_name,2323090,2323090,Somolu,Shomolu,Nigeria,Nigeria,NG,NG,LA,LA
city_name,1164437,1164437,Sui,Suhee,Pakistan,Pakistan,PK,PK,BA,BA
city_name,949880,949880,Tembisa,Thembisa,South Africa,South Africa,ZA,ZA,GP,GP
city_name,3120567,3120567,Huarte-Uharte,Huarte,Spain,Spain,ES,ES,"NC, NA","NC, NA"
city_name,1665148,1665148,New Taipei,New Taipei City,Taiwan,Taiwan,TW,TW,NWT,NWT
city_name,2746371,2746371,t Harde,t Harde,The Netherlands,The Netherlands,NL,NL,GE,GE
city_name,4965929,4965929,Greene,Greene Village,United States,United States,US,US,ME,ME
geoname_id,3431023,3855043,Los Toldos,Los Toldos,Argentina,Argentina,AR,AR,B,B
geoname_id,12566179,3835761,San Vicente,San Vicente,Argentina,Argentina,AR,AR,S,S
geoname_id,3428546,3428576,San Pedro,San Pedro,Argentina,Argentina,AR,AR,B,B
geoname_id,12671333,3436062,Bella Vista,Bella Vista,Argentina,Argentina,AR,AR,W,W
geoname_id,12707154,3431204,Los Cardales,Los Cardales,Argentina,Argentina,AR,AR,B,B
geoname_id,12654285,3428704,San Manuel,San Manuel,Argentina,Argentina,AR,AR,B,B
geoname_id,12675206,3428775,San Justo,San Justo,Argentina,Argentina,AR,AR,B,B
geoname_id,3858748,3858749,El Bordo,El Bordo,Argentina,Argentina,AR,AR,A,A
geoname_id,3432309,3432310,La Lucila,La Lucila,Argentina,Argentina,AR,AR,B,B
geoname_id,12725800,3842907,Nueva Esperanza,Nueva Esperanza,Argentina,Argentina,AR,AR,G,G
geoname_id,12654279,3856397,El Triunfo,El Triunfo,Argentina,Argentina,AR,AR,B,B
geoname_id,12675178,3847728,Las Toscas,Las Toscas,Argentina,Argentina,AR,AR,B,B
geoname_id,2777159,2777164,Haag,Haag,Austria,Austria,AT,AT,3,3
geoname_id,2766777,2766776,Sankt Agatha,Sankt Agatha,Austria,Austria,AT,AT,4,4
geoname_id,2769139,2769138,Penk,Penk,Austria,Austria,AT,AT,2,2
geoname_id,3453573,3453574,Pirapetinga,Pirapetinga,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6319492,6318968,Xinguara,Xinguara,Brazil,Brazil,BR,BR,PA,PA
geoname_id,6319833,6318970,Ze Doca,Ze Doca,Brazil,Brazil,BR,BR,MA,MA
geoname_id,3451203,3451202,Rio das Pedras,Rio das Pedras,Brazil,Brazil,BR,BR,SP,SP
geoname_id,12548918,3402538,Catarina,Catarina,Brazil,Brazil,BR,BR,CE,CE
