diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3427474,3427474,Valentin Alsina,Valentín Alsina,Argentina,Argentina,AR,AR,B,B
city_name,3433723,3433723,Gonzalez Catan,González Catán,Argentina,Argentina,AR,AR,B,B
city_name,3862320,3862320,Castelli,Juan Jose Castelli,Argentina,Argentina,AR,AR,H,H
city_name,3861568,3861568,Chepes Viejo,Chepes,Argentina,Argentina,AR,AR,F,F
city_name,3427505,3427505,Vicente Lopez,Vicente López,Argentina,Argentina,AR,AR,B,B
city_name,3436434,3436434,Aldea Asuncion,Aldea Asunción,Argentina,Argentina,AR,AR,E,E
city_name,11551604,11551604,Eunonyhareenyha,Eunanoreenya,Australia,Australia,AU,AU,NSW,NSW
city_name,7701323,7701323,Shariatpur District,Shariatpur,Bangladesh,Bangladesh,BD,BD,"C, 62","C, 62"
city_name,627907,627907,Gomel,Homyel,Belarus,Belarus,BY,BY,HO,HO
city_name,6319847,6319847,Baixa Grande Do Ribeiro,Baixa Grande do Ribeiro,Brazil,Brazil,BR,BR,PI,PI
city_name,6319698,6319698,Formosa Da Serra Negra,Formosa da Serra Negra,Brazil,Brazil,BR,BR,MA,MA
city_name,6323218,6323218,Passo De Torres,Passo de Torres,Brazil,Brazil,BR,BR,SC,SC
city_name,6321184,6321184,Bonito De Minas,Bonito de Minas,Brazil,Brazil,BR,BR,MG,MG
city_name,6323862,6323862,Primavera Do Leste,Primavera do Leste,Brazil,Brazil,BR,BR,MT,MT
city_name,6323881,6323881,Terra Nova Do Norte,Terra Nova do Norte,Brazil,Brazil,BR,BR,MT,MT
city_name,6319663,6319663,Bom Jesus Das Selvas,Bom Jesus das Selvas,Brazil,Brazil,BR,BR,MA,MA
city_name,6323853,6323853,Planalto Da Serra,Planalto da Serra,Brazil,Brazil,BR,BR,MT,MT
city_name,6323855,6323855,Pontal Do Araguaia,Pontal do Araguaia,Brazil,Brazil,BR,BR,MT,MT
city_name,5887470,5887470,Asbestos,Val-des-Sources,Canada,Canada,CA,CA,QC,QC
city_name,6325480,6325480,Berthier-Sur-Mer,Berthier-sur-Mer,Canada,Canada,CA,CA,QC,QC
city_name,3073789,3073789,Karviná,Fryštát,Czechia,Czechia,CZ,CZ,"80, 803","80, 803"
city_name,3660073,3660073,San Jacinto de Buena Fe,Buena Fe,Ecuador,Ecuador,EC,EC,R,R
