diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3197420,3197420,Dicmo,Dicmo Kraj,Croatia,Croatia,HR,HR,17,17
city_name,2855935,2855935,Ottobrunn,Ottobrunn bei Muenchen,Germany,Germany,DE,DE,BY,BY
city_name,2188250,2188250,Longburn,Karere,New Zealand,New Zealand,NZ,NZ,MWT,MWT
city_name,3620481,3620481,Departamento de Carazo,Carazo Department,Nicaragua,Nicaragua,NI,NI,CA,CA
city_name,751503,751503,Aybastı,Aybasti,Turkey,Turkey,TR,TR,52,52
city_name,7257909,7257909,Fort George Meade,Fort Meade,United States,United States,US,US,MD,MD
city_name,1585332,1585332,Cho Lach,Cholach,Vietnam,Vietnam,VN,VN,50,50
geoname_id,7478994,1194347,Mirpur,Mirpur,Bangladesh,Bangladesh,BD,BD,"D, 30","D, 30"
geoname_id,2789697,2789696,Ophoven,Ophoven,Belgium,Belgium,BE,BE,"VLG, VLI","VLG, VLI"
geoname_id,3452786,6323859,Porto Esperidiao,Porto Esperidiao,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3389134,3389141,Santo Antonio,Santo Antonio,Brazil,Brazil,BR,BR,RN,RN
geoname_id,6317696,8602676,Nossa Senhora de Nazare,Nossa Senhora de Nazare,Brazil,Brazil,BR,BR,PI,PI
geoname_id,8603124,6318405,Sao Domingos,Sao Domingos,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3445543,3445539,Vargem Alegre,Vargem Alegre,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6323770,6317707,Nova Andradina,Nova Andradina,Brazil,Brazil,BR,BR,MS,MS
geoname_id,6321013,3390682,Remanso,Remanso,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3460642,3460643,Itaquara,Itaquara,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3449466,3449467,Santo Estevao,Santo Estevao,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3451332,6318131,Ribeirao Grande,Ribeirao Grande,Brazil,Brazil,BR,BR,SP,SP
geoname_id,6316760,6323812,Canarana,Canarana,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3395238,3395239,Massape,Massape,Brazil,Brazil,BR,BR,CE,CE
geoname_id,6317869,6323850,Paranaita,Paranaita,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3404454,3404447,Cachoeira,Cachoeira,Brazil,Brazil,BR,BR,PB,PB
geoname_id,3480536,3461871,Guararema,Guararema,Brazil,Brazil,BR,BR,SP,SP
geoname_id,3472998,3472999,Agua Fria,Agua Fria,Brazil,Brazil,BR,BR,BA,BA
geoname_id,3390418,3390420,Riacho dos Cavalos,Riacho dos Cavalos,Brazil,Brazil,BR,BR,PB,PB
geoname_id,3385745,8602689,Uniao,Uniao,Brazil,Brazil,BR,BR,PI,PI
geoname_id,6316485,3471427,Balneario Arroio do Silva,Balneario Arroio do Silva,Brazil,Brazil,BR,BR,SC,SC
geoname_id,3403899,6319494,Calcoene,Calcoene,Brazil,Brazil,BR,BR,AP,AP
geoname_id,3448418,3448409,Sao Pedro,Sao Pedro,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6323831,3460558,Itiquira,Itiquira,Brazil,Brazil,BR,BR,MT,MT
