diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,6050218,6050218,La Scie,LaScie,Canada,Canada,CA,CA,NL,NL
city_name,2038479,2038479,Banbidian,Banbidiancun,China,China,CN,CN,HE,HE
city_name,1915255,1915255,Puyang,Puyangcun,China,China,CN,CN,GD,GD
city_name,6846335,6846335,Guangtan,Guangtancun,China,China,CN,CN,GD,GD
city_name,1529099,1529099,Usu,Wusu,China,China,CN,CN,XJ,XJ
city_name,10000289,10000289,Aihetan,Aihetancun,China,China,CN,CN,HE,HE
city_name,6846295,6846295,Baiqiao,Boqiaocun,China,China,CN,CN,GD,GD
city_name,3622881,3622881,Mercedes,Mercedes Norte,Costa Rica,Costa Rica,CR,CR,H,H
city_name,2820967,2820967,Trostau,Troestau,Germany,Germany,DE,DE,BY,BY
city_name,3206434,3206434,Isernhagen,Isernhagen-Sued,Germany,Germany,DE,DE,NI,NI
city_name,7289823,7289823,Hinjewadi,Hinjawadi,India,India,IN,IN,MH,MH
city_name,293847,293847,Qiryat `Anavim,Qiryat 'Anavim,Israel,Israel,IL,IL,JM,JM
city_name,294034,294034,Nir `Aqiva,Nir 'Aqiva,Israel,Israel,IL,IL,D,D
city_name,294120,294120,Nahal `Oz,Nahal 'Oz,Israel,Israel,IL,IL,D,D
city_name,293723,293723,Re`im,Re'im,Israel,Israel,IL,IL,D,D
city_name,1282712,1282712,Taplejung,Taplejun,Nepal,Nepal,NP,NP,P1,P1
city_name,1699076,1699076,City of Muntinglupa,City of Muntinlupa,Philippines,Philippines,PH,PH,"40, RIZ","40, RIZ"
city_name,2659448,2659448,Niederweningen / Niederweningen (Dorf),Niederweningen,Switzerland,Switzerland,CH,CH,ZH,ZH
city_name,2473257,2473257,Ar Rudayyif,Redeyef,Tunisia,Tunisia,TN,TN,71,71
city_name,2469264,2469264,Menzel Bourguiba,Ferryville,Tunisia,Tunisia,TN,TN,23,23
geoname_id,2163395,11775912,Hill Top,Hill Top,Australia,Australia,AU,AU,NSW,NSW
geoname_id,3471910,3471909,Apucarana,Apucarana,Brazil,Brazil,BR,BR,PR,PR
geoname_id,3389134,3389141,Santo Antonio,Santo Antonio,Brazil,Brazil,BR,BR,RN,RN
geoname_id,3663503,6319329,Manicore,Manicore,Brazil,Brazil,BR,BR,AM,AM
geoname_id,3406946,6324277,Aveiro,Aveiro,Brazil,Brazil,BR,BR,PA,PA
geoname_id,3451203,3451202,Rio das Pedras,Rio das Pedras,Brazil,Brazil,BR,BR,SP,SP
geoname_id,3661756,6319348,Uarini,Uarini,Brazil,Brazil,BR,BR,AM,AM
geoname_id,6321383,3463120,Formoso,Formoso,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6323850,6317869,Paranaita,Paranaita,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6319756,3392996,Parnarama,Parnarama,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6318838,8602146,Uruara,Uruara,Brazil,Brazil,BR,BR,PA,PA
geoname_id,3467443,3467442,Cantagalo,Cantagalo,Brazil,Brazil,BR,BR,PR,PR
geoname_id,3406887,3406883,Bacuri,Bacuri,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6319187,6318126,Ribeirao Cascalheira,Ribeirao Cascalheira,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3466344,3466345,Chacara,Chacara,Brazil,Brazil,BR,BR,MG,MG
geoname_id,11969001,12388912,Sertaozinho,Sertaozinho,Brazil,Brazil,BR,BR,SP,SP
geoname_id,6318187,6322523,Rosana,Rosana,Brazil,Brazil,BR,BR,SP,SP
geoname_id,3401204,3401205,Curua,Curua,Brazil,Brazil,BR,BR,PA,PA
geoname_id,12229353,3463605,Farroupilha,Farroupilha,Brazil,Brazil,BR,BR,RS,RS
geoname_id,3404908,3404918,Brejinho,Brejinho,Brazil,Brazil,BR,BR,PE,PE
geoname_id,3389615,3389614,Santa Helena,Santa Helena,Brazil,Brazil,BR,BR,PB,PB
geoname_id,6318704,3387423,Sitio Novo do Tocantins,Sitio Novo do Tocantins,Brazil,Brazil,BR,BR,TO,TO
geoname_id,10160438,6913048,Jingyang,Jingyang,China,China,CN,CN,SC,SC
geoname_id,8396050,7843947,Linhai,Linhai,China,China,CN,CN,JS,JS
geoname_id,9615165,7756962,Nanmen,Nanmen,China,China,CN,CN,JX,JX
geoname_id,1983599,1941830,Donghu,Donghu,China,China,CN,CN,FJ,FJ
geoname_id,7032113,7030027,Buxin,Buxin,China,China,CN,CN,GD,GD
geoname_id,8366906,7767192,Baizhang,Baizhang,China,China,CN,CN,GD,GD
geoname_id,2036914,8505293,Heping,Heping,China,China,CN,CN,HL,HL
geoname_id,8416147,8397800,Baiyan,Baiyan,China,China,CN,CN,CQ,CQ
geoname_id,6846300,6681232,Fuzhou,Fuzhou,China,China,CN,CN,GD,GD
geoname_id,1997989,1816545,Beitou,Beitou,China,China,CN,CN,GD,GD
geoname_id,10414477,1812354,Dongmiaocun,Dongmiaocun,China,China,CN,CN,AH,AH
geoname_id,8359268,1813285,Daxing,Daxing,China,China,CN,CN,JS,JS
geoname_id,7517482,7349057,Chenguang,Chenguang,China,China,CN,CN,GS,GS
geoname_id,7741266,7741544,Gangkou,Gangkou,China,China,CN,CN,HB,HB
geoname_id,10423574,7061707,Caochang,Caochang,China,China,CN,CN,HA,HA
geoname_id,9527756,9527350,Beiyang,Beiyang,China,China,CN,CN,HE,HE
geoname_id,1547919,8035850,Chendun,Chendun,China,China,CN,CN,JS,JS
geoname_id,1801983,1801982,Luocheng,Luocheng,China,China,CN,CN,SC,SC
geoname_id,11512198,7404739,Xiangyangsi,Xiangyangsi,China,China,CN,CN,LN,LN
geoname_id,7399546,7076866,Qianyu,Qianyu,China,China,CN,CN,LN,LN
geoname_id,11578422,1810413,Gaoqiao,Gaoqiao,China,China,CN,CN,JS,JS
geoname_id,8464520,7628822,Nangang,Nangang,China,China,CN,CN,HL,HL
geoname_id,1993913,1813488,Datang,Datang,China,China,CN,CN,GX,GX
geoname_id,8514138,8509695,Beikou,Beikou,China,China,CN,CN,HB,HB
geoname_id,10021420,10021107,Baishan,Baishan,China,China,CN,CN,GZ,GZ
geoname_id,8421357,1813459,Datong,Datong,China,China,CN,CN,FJ,FJ
geoname_id,8394588,1812540,Dongguan,Dongguan,China,China,CN,CN,JS,JS
geoname_id,1920006,1811890,Duji,Duji,China,China,CN,CN,SD,SD
geoname_id,1924699,1815316,Chenfang,Chenfang,China,China,CN,CN,JX,JX
geoname_id,1911837,1795270,Shijiazhuang,Shijiazhuang,China,China,CN,CN,HE,HE
geoname_id,1808316,1815618,Yiyang,Yiyang,China,China,CN,CN,HN,HN
geoname_id,10137183,1280945,Jinhua,Jinhua,China,China,CN,CN,YN,YN
geoname_id,1816734,2052491,Beifang,Beifang,China,China,CN,CN,BJ,BJ
geoname_id,11635141,11533264,Zhujing,Zhujing,China,China,CN,CN,JS,JS
geoname_id,1915223,6986104,Zhongshan,Zhongshan,China,China,CN,CN,GD,GD
geoname_id,8408643,8404872,Santai,Santai,China,China,CN,CN,CQ,CQ
geoname_id,11757827,1897517,Dujiacun,Dujiacun,China,China,CN,CN,ZJ,ZJ
geoname_id,7733804,6666916,Nanhu,Nanhu,China,China,CN,CN,ZJ,ZJ
geoname_id,1808395,1808393,Hengshui,Hengshui,China,China,CN,CN,SX,SX
geoname_id,8359295,1548178,Shuanghe,Shuanghe,China,China,CN,CN,JS,JS
geoname_id,8416483,8399707,Daliang,Daliang,China,China,CN,CN,CQ,CQ
geoname_id,1920683,12372386,Baita,Baita,China,China,CN,CN,SD,SD
geoname_id,9613985,7472354,Babei,Babei,China,China,CN,CN,JX,JX
geoname_id,10006089,10004587,Longjing,Longjing,China,China,CN,CN,GZ,GZ
geoname_id,10008128,6644097,Jinniu,Jinniu,China,China,CN,CN,YN,YN
geoname_id,1817118,1817117,Banchang,Banchang,China,China,CN,CN,GZ,GZ
geoname_id,1786232,7517128,Yongxing,Yongxing,China,China,CN,CN,GS,GS
geoname_id,8394671,1903813,Luqiao,Luqiao,China,China,CN,CN,JS,JS
geoname_id,7404479,7018004,Dayuan,Dayuan,China,China,CN,CN,LN,LN
geoname_id,1905311,7065363,Baishi,Baishi,China,China,CN,CN,JX,JX
geoname_id,8366764,7005968,Luzhou,Luzhou,China,China,CN,CN,GD,GD
geoname_id,1281656,1816828,Bayan,Bayan,China,China,CN,CN,QH,QH
geoname_id,8416434,8406198,Baohe,Baohe,China,China,CN,CN,CQ,CQ
geoname_id,9878920,7652278,Zhangshan,Zhangshan,China,China,CN,CN,JX,JX
geoname_id,9629796,9629752,Dafu,Dafu,China,China,CN,CN,HE,HE
geoname_id,1928127,1791272,Wugang,Wugang,China,China,CN,CN,HN,HN
geoname_id,10363620,1817467,Baiquan,Baiquan,China,China,CN,CN,HA,HA
