diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,5884472,5884472,Amhertsburg,Amherstburg,Canada,Canada,CA,CA,ON,ON
city_name,1275947,1275947,Bhīmavaram,Bhimavaram,India,India,IN,IN,AP,AP
city_name,1678835,1678835,Chiayi County,Chiyayi County,Taiwan,Taiwan,TW,TW,CYQ,CYQ
city_name,292261,292261,Dayrah,Deira,United Arab Emirates,United Arab Emirates,AE,AE,DU,DU
city_name,1203891,1203891,Dinājpur,Dinajpur,Bangladesh,Bangladesh,BD,BD,"F, 14","F, 14"
city_name,3658380,3658380,El Anegado,Eloy Alfaro,Ecuador,Ecuador,EC,EC,M,M
city_name,285629,285629,Ḩawallī,Hawalli,Kuwait,Kuwait,KW,KW,HA,HA
city_name,3836170,3836170,Santa Magdalena,Jovita,Argentina,Argentina,AR,AR,X,X
city_name,3655141,3655141,La Joya de los Sachas,La Joya de Los Sachas,Ecuador,Ecuador,EC,EC,D,D
city_name,3860757,3860757,Colonia La Tordilla,La Tordilla,Argentina,Argentina,AR,AR,X,X
city_name,3654884,3654884,Las Pinas,Las Pinas de Julcuy,Ecuador,Ecuador,EC,EC,M,M
city_name,3843871,3843871,Monte Cristo,Montecristo,Argentina,Argentina,AR,AR,X,X
city_name,954286,954286,Soekmekaar,Morebeng,South Africa,South Africa,ZA,ZA,LP,LP
city_name,2562698,2562698,Imsida,Msida,Malta,Malta,MT,MT,34,34
city_name,950468,950468,Tabankulu,Ntabankulu,South Africa,South Africa,ZA,ZA,EC,EC
city_name,1019883,1019883,Berlin,Ntabozuko,South Africa,South Africa,ZA,ZA,EC,EC
city_name,1260792,1260792,Pālakollu,Palakollu,India,India,IN,IN,AP,AP
city_name,1798425,1798425,Puyang,Pujiang,China,China,CN,CN,ZJ,ZJ
city_name,990849,990849,King William's Town,Qonce,South Africa,South Africa,ZA,ZA,EC,EC
city_name,3652029,3652029,San Antonio de Ibarra,San Antonio,Ecuador,Ecuador,EC,EC,I,I
city_name,3653858,3653858,Natabuela,San Francisco de Natabuela,Ecuador,Ecuador,EC,EC,I,I
city_name,984118,984118,Leandra,Thuli,South Africa,South Africa,ZA,ZA,MP,MP
city_name,973527,973527,Mount Fletcher,Tlokoeng,South Africa,South Africa,ZA,ZA,EC,EC
city_name,3649960,3649960,Zamora,Zamora Nuevo,Ecuador,Ecuador,EC,EC,G,G
