diff_in,old_geoname_id,new_geoname_id,old_city_name,new_city_name,old_country_name,new_country_name,old_country_code,new_country_code,old_subdivision_codes,new_subdivision_codes
city_name,3469451,3469451,Bom Jesus,Bom Jesus de Goiás,Brazil,Brazil,BR,BR,GO,GO
city_name,3463702,3463702,Estulândia,Estulânia,Brazil,Brazil,BR,BR,GO,GO
city_name,3468446,3468446,Cachoeira de Macacos,Cachoeira da Prata,Brazil,Brazil,BR,BR,MG,MG
city_name,3465253,3465253,Couto de Magalhães,Couto de Magalhães de Minas,Brazil,Brazil,BR,BR,MG,MG
city_name,3461937,3461937,Guapuã,Cristais Paulista,Brazil,Brazil,BR,BR,SP,SP
city_name,3461538,3461538,Ibitiúra,Ibitiúra de Minas,Brazil,Brazil,BR,BR,MG,MG
city_name,3399985,3399985,Fazenda Pau Branco,Paus Branco,Brazil,Brazil,BR,BR,CE,CE
city_name,3450265,3450265,Santa Efigênia,Santa Efigênia de Minas,Brazil,Brazil,BR,BR,MG,MG
city_name,3451336,3451336,Ribeirão dos Pintos,Ribeirão do Sul,Brazil,Brazil,BR,BR,SP,SP
city_name,3449102,3449102,São Gabriel,São Gabriel da Palha,Brazil,Brazil,BR,BR,ES,ES
city_name,3448482,3448482,São Miguel,São Miguel da Serra,Brazil,Brazil,BR,BR,SC,SC
city_name,8542933,8542933,Alta Floresta D'Oeste,Alta Floresta d'Oeste,Brazil,Brazil,BR,BR,RO,RO
city_name,3467727,3467727,Campo Limpo,Campo Limpo de Goiás,Brazil,Brazil,BR,BR,GO,GO
city_name,1788406,1788406,Guixi,Huayuan,China,China,CN,CN,JX,JX
city_name,636363,636363,Solv,Solf,Finland,Finland,FI,FI,12,12
city_name,3013477,3013477,Herblay,Herblay-sur-Seine,France,France,FR,FR,"IDF, 95","IDF, 95"
city_name,293522,293522,Shelomi,Shlomi,Israel,Israel,IL,IL,Z,Z
city_name,1283711,1283711,Bāglung,Bāgluṅ,Nepal,Nepal,NP,NP,P4,P4
geoname_id,12675206,3428775,San Justo,San Justo,Argentina,Argentina,AR,AR,B,B
geoname_id,8635185,11102944,Sundown,Sundown,Australia,Australia,AU,AU,QLD,QLD
geoname_id,3451234,12467119,Rio Claro,Rio Claro,Brazil,Brazil,BR,BR,SP,SP
geoname_id,3470390,3470389,Barrocas,Barrocas,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6318744,12969866,Tapurah,Tapurah,Brazil,Brazil,BR,BR,MT,MT
geoname_id,3664443,3664441,Cujubim,Cujubim,Brazil,Brazil,BR,BR,RO,RO
geoname_id,6316885,12966147,Colniza,Colniza,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6318846,3661615,Vale do Anari,Vale do Anari,Brazil,Brazil,BR,BR,RO,RO
geoname_id,6318747,3446825,Taquaral de Goiás,Taquaral de Goiás,Brazil,Brazil,BR,BR,GO,GO
geoname_id,6316872,12991858,Cidade Ocidental,Cidade Ocidental,Brazil,Brazil,BR,BR,GO,GO
geoname_id,6323837,12966165,Juruena,Juruena,Brazil,Brazil,BR,BR,MT,MT
geoname_id,6317351,3397702,Jacundá,Jacundá,Brazil,Brazil,BR,BR,PA,PA
geoname_id,6316674,3404545,Cabo de Santo Agostinho,Cabo de Santo Agostinho,Brazil,Brazil,BR,BR,PE,PE
geoname_id,6316461,3464431,Augusto Pestana,Augusto Pestana,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6317595,8505869,Ministro Andreazza,Ministro Andreazza,Brazil,Brazil,BR,BR,RO,RO
geoname_id,3460741,13029251,Itapoá,Itapoá,Brazil,Brazil,BR,BR,SC,SC
geoname_id,3406923,8543460,Babaçulândia,Babaçulândia,Brazil,Brazil,BR,BR,TO,TO
geoname_id,6318657,3390364,Senador Rui Palmeira,Senador Rui Palmeira,Brazil,Brazil,BR,BR,AL,AL
geoname_id,6318973,3456854,Monte Belo do Sul,Monte Belo do Sul,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6317742,3453956,Nova Hartz,Nova Hartz,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6317557,3395232,Massapê do Piauí,Massapê do Piauí,Brazil,Brazil,BR,BR,PI,PI
geoname_id,6316338,3407998,Alegrete do Piauí,Alegrete do Piauí,Brazil,Brazil,BR,BR,PI,PI
geoname_id,6316331,3408092,Alagoinha do Piauí,Alagoinha do Piauí,Brazil,Brazil,BR,BR,PI,PI
geoname_id,6316739,3403592,Campo Grande do Piauí,Campo Grande do Piauí,Brazil,Brazil,BR,BR,PI,PI
geoname_id,6317914,3444862,Pedro Alexandre,Pedro Alexandre,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6317765,3449884,Nova Santa Rita,Nova Santa Rita,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6318411,3449290,São Domingos do Norte,São Domingos do Norte,Brazil,Brazil,BR,BR,ES,ES
geoname_id,6318878,3446612,Vera Cruz,Vera Cruz,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6318247,3471051,Santa Helena de Minas,Santa Helena de Minas,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6317991,3454107,Planalto,Planalto,Brazil,Brazil,BR,BR,BA,BA
geoname_id,6318842,8464759,Urupá,Urupá,Brazil,Brazil,BR,BR,RO,RO
geoname_id,6316460,3411874,Augustinópolis,Augustinópolis,Brazil,Brazil,BR,BR,TO,TO
geoname_id,6317724,3466709,Nova Castilho,Nova Castilho,Brazil,Brazil,BR,BR,SP,SP
geoname_id,6317920,3455918,Pedro Osório,Pedro Osório,Brazil,Brazil,BR,BR,RS,RS
geoname_id,3406885,3406887,Bacuri,Bacuri,Brazil,Brazil,BR,BR,MA,MA
geoname_id,6319833,6318970,Zé Doca,Zé Doca,Brazil,Brazil,BR,BR,MA,MA
geoname_id,12199880,3454865,Alvorada,Alvorada,Brazil,Brazil,BR,BR,RS,RS
geoname_id,6317063,3461996,Engenheiro Coelho,Engenheiro Coelho,Brazil,Brazil,BR,BR,SP,SP
geoname_id,6317062,3450441,Engenheiro Caldas,Engenheiro Caldas,Brazil,Brazil,BR,BR,MG,MG
geoname_id,6316370,3446787,Alto Taquari,Alto Taquari,Brazil,Brazil,BR,BR,MT,MT
